# As only the individual card spoilers currently show which double-faced cards
# are the reverse side of what, this data needs to be given explicitly when
# scraping other spoiler formats.

# format: front side, tab(s), back side

Bloodline Keeper	Lord of Lineage
Civilized Scholar	Homicidal Brute
Cloistered Youth	Unholy Fiend
Daybreak Ranger		Nightfall Predator
Delver of Secrets	Insectile Aberration
Garruk Relentless	Garruk, the Veil-Cursed
Gatstaf Shepherd	Gatstaf Howler
Grizzled Outcasts	Krallenhorde Wantons
Hanweir Watchkeep	Bane of Hanweir
Instigator Gang		Wildblood Pack
Kruin Outlaw		Terror of Kruin Pass
Ludevic's Test Subject	Ludevic's Abomination
Mayor of Avabruck	Howlpack Alpha
Reckless Waif		Merciless Predator
Screeching Bat		Stalking Vampire
Thraben Sentry		Thraben Militia
Tormented Pariah	Rampaging Werewolf
Ulvenwald Mystics	Ulvenwald Primordials
Village Ironsmith	Ironfang
Villagers of Estwald	Howlpack of Estwald

#Loyal Cathar		Unhallowed Cathar
#Soul Seizer		Ghastly Haunting
#Chosen of Markov	???
#Ravenous Demon		Archdemon of Greed
#Afflicted Deserter	Werewolf Ransacker
#Hinterland Hermit	???
#Mondronen Shaman	Tovolar's Magehunter
#Lambholt Elder		Silverpelt Werewolf
#Scorned Villager	Moonscarred Werewolf
#Wolfbitten Captive	Krallenhorde Killer
#Huntmaster of the Fells	Ravager of the Fells
#Chalice of Life	Chalice of Death
#Elbrus, the Binding Blade	???
